gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
1.0,2.0,0.001,23520,13.74744526,0.0220534226,1.622216976,0.000829069604231111,0.0001250926163491921
1.0,2.0,0.001,48000,24.98967187,0.034119920000000005,3.2763214880000002,0.0014239233715273153,0.00025705787702480894
1.0,2.0,0.001,108000,62.938980183,0.0800108925,7.650132128,0.0030059982362817257,0.0006816303367365712
1.0,2.0,0.001,192000,133.324331245,0.17555437090000003,14.824424368,0.005915072975721493,0.001473139869142523
1.0,2.0,0.001,432000,327.791602632,0.42934936540000007,34.901158784,0.0027487275226366647,0.0008388803225198813
2.0,2.0,0.001,23520,12.485210126,0.015559811000000002,1.6531330240000002,0.001407255479696613,0.00020843472085639345
2.0,2.0,0.001,48000,26.167957256,0.046044711099999996,3.45528504,0.0013280068383145615,0.00023936983903478587
2.0,2.0,0.001,108000,65.218274542,0.06284865310000001,8.342863008,0.00208635827182583,0.00046784263340857597
2.0,2.0,0.001,192000,131.89325598,0.1822444033,15.522962384000001,0.0034434894241273666,0.0008574870779521004
2.0,2.0,0.001,432000,295.279354899,0.2692986931,35.991032752,0.005543326445177094,0.00167622453266575
