gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
1.0,5.0,0.001,23520,11.380745138,0.0130756867,0.9672830400000001,0.0012996011732025504,0.0002299329860313036
1.0,5.0,0.001,48000,21.086359007,0.0317029945,2.038414496,0.001315601502743355,0.00027589638204040347
1.0,5.0,0.001,108000,56.848940489,0.06059472109999999,4.962473984000001,0.0048731220871049,0.0011904292664521512
1.0,5.0,0.001,192000,114.750037653,0.1531377644,9.37123352,0.0016404078434138502,0.00045343269302123445
1.0,5.0,0.001,432000,280.266582751,0.32230202520000006,22.799186048000003,0.007876177879536535,0.0025435964140457846
2.0,5.0,0.001,23520,9.346040149,0.014278025,1.01671152,0.0011853751562459008,0.00019992329700959825
2.0,5.0,0.001,48000,17.726805898,0.026154199,2.191850976,0.002859132301913724,0.0005618208470388956
2.0,5.0,0.001,108000,43.651435078,0.0351965253,5.214025648000001,0.0032584113288580034,0.0007597779090959102
2.0,5.0,0.001,192000,86.728822628,0.10016596050000001,9.643359472,0.003607338819097563,0.0010070230927367273
2.0,5.0,0.001,432000,204.141836391,0.14800078600000002,22.766248064000003,0.006606825900327942,0.0020399889368167856
