k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,15.703664147,0.11558145169999998,1.4848368,0.0005080040609921693,0.0001254365243579942
18.99781727007825,1.0,5.0,0.001,48000,37.241691832,0.2840824199,2.9700865120000004,0.0004384894135649331,0.00014927848224059048
28.496725694624445,1.0,5.0,0.001,108000,115.948855951,0.7031825246000001,6.74853048,0.0005089880455416451,0.0002359257381673555
37.99043905949329,1.0,5.0,0.001,192000,282.94843243,1.5766516433,12.952528624000001,0.0006585443019242239,0.0003533682160671493
56.98565856291988,1.0,5.0,0.001,432000,1043.401419319,4.504283322099999,28.854333024000002,0.0012844965975671802,0.0008749955779852305
