k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,17.301940195,0.1132786061,1.7380667680000002,0.001713546300127197,0.0008971046065478714
18.99781727007825,1.0,5.0,0.001,48000,44.090173915,0.3042134729,3.6753440320000004,0.0024269418553067726,0.0014091871334574292
28.496725694624445,1.0,5.0,0.001,108000,144.968964842,0.8811388061999998,8.822848352000001,0.0020947891095120736,0.0013333093933192966
37.99043905949329,1.0,5.0,0.001,192000,353.166643227,1.7315258945,17.242162048,0.003688771028274008,0.0024504393481049186
56.98565856291988,1.0,5.0,0.001,432000,1281.068653677,5.9477392335,40.578806400000005,0.0036465056017244367,0.002587249162352337
