k,gamma,etahf,tol,N,th2mat,thmat,tmvh2mat,tmvhmat,storh2mat,storhmat,farerrh2mat,farerrhmat
11.877012145297389,1.0,5.0,0.001,18750,12.381917904,22.600157164,0.072938925,0.033824916,1.24815304,1.395423024,0.001269336732254532,0.003757636178420027
18.99781727007825,1.0,5.0,0.001,48000,32.744046897,94.377705828,0.26998893,0.096232282,3.65638392,4.921691248,0.005249564795680397,0.00365860150501154
23.745712998815584,1.0,5.0,0.001,75000,61.834772234,200.62989114,0.466923784,0.181303357,6.089207168000001,9.2357416,0.0030204679135512305,0.00333860758370197
35.61856939043442,1.0,5.0,0.001,168750,160.48266969,791.612291047,1.29761498,0.487765091,14.736830128000001,28.572557600000003,0.004012138000511348,0.003206525664802053
47.487269442582225,1.0,5.0,0.001,300000,325.276742517,2241.17591621,2.810267107,1.087119707,27.693483152000002,65.0856976,0.0036219270225892474,0.0029528959562081887
80.72681759987759,1.0,5.0,0.001,867000,1201.479141575,16697.866481594,10.525572743,3.763360075,85.61917478400001,298.97763700800004,0.003531570420554107,0.0023771300253457362
