k,gamma,etahf,tol,N,th2mat,thmat,tmvh2mat,tmvhmat,storh2mat,storhmat,farerrh2mat,farerrhmat
11.877012145297389,1.0,5.0,0.001,18750,10.480623545,34.807239821,0.068446566,0.080967609,1.0762521280000001,1.2230412480000001,0.00038425983092357243,0.0025968249395480073
23.745712998815584,1.0,5.0,0.001,75000,59.288854268,294.468700828,0.436404282,0.579752924,4.8484204,7.079966032000001,0.0005972585590892025,0.002046734701987727
47.487269442582225,1.0,5.0,0.001,300000,452.296967201,2163.716431464,2.124832876,3.413021961,20.510679264,44.100319264,0.0008565717137956624,0.0019307332278058992
94.972460493942,1.0,5.0,0.001,1200000,4383.804064127,14817.416963846,10.866910137,24.878396919,85.965905504,291.37649475200004,0.0018088370194805023,0.0017642661916213432
