k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.20947552157809,1.0,5.0,0.001,23328,13.248343436,0.07310401069999997,1.205837488,0.005545685957835359,0.0036231862743447544
22.214414690791813,1.0,5.0,0.001,45000,29.275326566,0.21726322390000002,2.977670208,0.0006993563305464412,0.00044417629173974137
31.67433458687259,1.0,5.0,0.001,98568,86.722251439,0.5181347234,6.567082768000001,0.004053079177538349,0.0027410860955978103
44.428829381583625,1.0,5.0,0.001,180000,208.850982455,1.1270442969999999,12.900521952,0.0028442879705517627,0.0020302071588206468
60.84856578592997,1.0,5.0,0.001,394272,647.22106175,2.9364792416,27.247062336000003,0.0032643105499267945,0.0024625012639284474
88.85765876316725,1.0,5.0,0.001,720000,1913.986892151,5.1225891967,55.447192384000004,0.0036952820245178034,0.0028892742317659786
