x y z
0.03800541 2.94718174 5.22658033
0.0195 3.0725 5.205
NaN NaN NaN
0.03800541 2.94718174 5.22658033
0.0 3.087 5.009
NaN NaN NaN
0.03800541 2.94718174 5.22658033
0.0368566086 2.81918108 5.02511684
NaN NaN NaN
-0.03800541 2.94718174 5.22658033
-0.0195 3.0725 5.205
NaN NaN NaN
-0.03800541 2.94718174 5.22658033
0.0 3.087 5.009
NaN NaN NaN
-0.03800541 2.94718174 5.22658033
-0.0368566086 2.81918108 5.02511684
NaN NaN NaN
0.0195 3.0725 5.205
0.0 3.136 5.205
NaN NaN NaN
0.0195 3.0725 5.205
0.0 3.087 5.009
NaN NaN NaN
-0.0195 3.0725 5.205
0.0 3.136 5.205
NaN NaN NaN
-0.0195 3.0725 5.205
0.0 3.087 5.009
NaN NaN NaN
0.0 3.136 5.205
0.0 3.087 5.009
NaN NaN NaN
0.0 2.07824206 5.78346862
-0.0251991024 2.21862233 5.33022617
NaN NaN NaN
0.0 2.07824206 5.78346862
0.0251991024 2.21862233 5.33022617
NaN NaN NaN
0.0 2.07824206 5.78346862
0.0 1.6374042 5.59903645
NaN NaN NaN
0.0 2.07824206 5.78346862
0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0 2.07824206 5.78346862
-0.0178154722 1.76954616 5.2923614
NaN NaN NaN
-0.054374326 2.58879114 5.15306467
-0.0368566086 2.81918108 5.02511684
NaN NaN NaN
-0.054374326 2.58879114 5.15306467
-0.0251991024 2.21862233 5.33022617
NaN NaN NaN
-0.054374326 2.58879114 5.15306467
-0.0652559021 2.25669646 4.97758203
NaN NaN NaN
-0.054374326 2.58879114 5.15306467
-0.0354925401 2.66719513 4.7859023
NaN NaN NaN
0.0549355832 2.57166214 5.14401351
0.0368566086 2.81918108 5.02511684
NaN NaN NaN
0.0549355832 2.57166214 5.14401351
0.0251991024 2.21862233 5.33022617
NaN NaN NaN
0.0549355832 2.57166214 5.14401351
0.0354925401 2.66719513 4.7859023
NaN NaN NaN
0.0549355832 2.57166214 5.14401351
0.0662524244 2.2262836 4.96151153
NaN NaN NaN
0.0 3.087 5.009
-0.0368566086 2.81918108 5.02511684
NaN NaN NaN
0.0 3.087 5.009
0.0368566086 2.81918108 5.02511684
NaN NaN NaN
0.0 3.087 5.009
0.0 2.94952552 4.81260789
NaN NaN NaN
-0.0368566086 2.81918108 5.02511684
0.0 2.94952552 4.81260789
NaN NaN NaN
-0.0368566086 2.81918108 5.02511684
-0.0354925401 2.66719513 4.7859023
NaN NaN NaN
0.0368566086 2.81918108 5.02511684
0.0 2.94952552 4.81260789
NaN NaN NaN
0.0368566086 2.81918108 5.02511684
0.0354925401 2.66719513 4.7859023
NaN NaN NaN
-0.0251991024 2.21862233 5.33022617
-0.0652559021 2.25669646 4.97758203
NaN NaN NaN
-0.0251991024 2.21862233 5.33022617
-0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0251991024 2.21862233 5.33022617
0.0662524244 2.2262836 4.96151153
NaN NaN NaN
0.0251991024 2.21862233 5.33022617
0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0 2.94952552 4.81260789
-0.0354925401 2.66719513 4.7859023
NaN NaN NaN
0.0 2.94952552 4.81260789
0.0354925401 2.66719513 4.7859023
NaN NaN NaN
0.0 2.94952552 4.81260789
0.0 2.7771226 4.56631799
NaN NaN NaN
-0.0652559021 2.25669646 4.97758203
-0.0354925401 2.66719513 4.7859023
NaN NaN NaN
-0.0652559021 2.25669646 4.97758203
-0.0178154722 1.76954616 5.2923614
NaN NaN NaN
-0.0652559021 2.25669646 4.97758203
-0.0338875668 2.48836731 4.50444067
NaN NaN NaN
-0.0652559021 2.25669646 4.97758203
-0.0786269902 1.84862439 4.76195208
NaN NaN NaN
-0.0354925401 2.66719513 4.7859023
0.0 2.7771226 4.56631799
NaN NaN NaN
-0.0354925401 2.66719513 4.7859023
-0.0338875668 2.48836731 4.50444067
NaN NaN NaN
0.0354925401 2.66719513 4.7859023
0.0662524244 2.2262836 4.96151153
NaN NaN NaN
0.0354925401 2.66719513 4.7859023
0.0 2.7771226 4.56631799
NaN NaN NaN
0.0354925401 2.66719513 4.7859023
0.0338875668 2.48836731 4.50444067
NaN NaN NaN
0.0662524244 2.2262836 4.96151153
0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0662524244 2.2262836 4.96151153
0.0338875668 2.48836731 4.50444067
NaN NaN NaN
0.0662524244 2.2262836 4.96151153
0.0800968 1.80376728 4.73824907
NaN NaN NaN
0.0662524244 2.2262836 4.96151153
0.0576372932 2.05890046 4.53376878
NaN NaN NaN
0.0 1.6374042 5.59903645
0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0 1.6374042 5.59903645
-0.0178154722 1.76954616 5.2923614
NaN NaN NaN
0.0 1.6374042 5.59903645
0.0 1.28323094 5.45086192
NaN NaN NaN
0.0 1.6374042 5.59903645
-0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0 1.6374042 5.59903645
0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0178154722 1.76954616 5.2923614
0.0800968 1.80376728 4.73824907
NaN NaN NaN
0.0178154722 1.76954616 5.2923614
0.0110668636 1.35909232 5.25775315
NaN NaN NaN
-0.0178154722 1.76954616 5.2923614
-0.0786269902 1.84862439 4.76195208
NaN NaN NaN
-0.0178154722 1.76954616 5.2923614
-0.0110668636 1.35909232 5.25775315
NaN NaN NaN
0.0 2.7771226 4.56631799
0.0338875668 2.48836731 4.50444067
NaN NaN NaN
0.0 2.7771226 4.56631799
-0.0338875668 2.48836731 4.50444067
NaN NaN NaN
0.0 2.7771226 4.56631799
0.0 2.57115305 4.27207579
NaN NaN NaN
0.0338875668 2.48836731 4.50444067
0.0576372932 2.05890046 4.53376878
NaN NaN NaN
0.0338875668 2.48836731 4.50444067
0.0 2.57115305 4.27207579
NaN NaN NaN
0.0338875668 2.48836731 4.50444067
0.0320192381 2.28019616 4.1767948
NaN NaN NaN
-0.0338875668 2.48836731 4.50444067
-0.0786269902 1.84862439 4.76195208
NaN NaN NaN
-0.0338875668 2.48836731 4.50444067
0.0 2.57115305 4.27207579
NaN NaN NaN
-0.0338875668 2.48836731 4.50444067
-0.0320192381 2.28019616 4.1767948
NaN NaN NaN
-0.0786269902 1.84862439 4.76195208
-0.0110668636 1.35909232 5.25775315
NaN NaN NaN
-0.0786269902 1.84862439 4.76195208
-0.0320192381 2.28019616 4.1767948
NaN NaN NaN
-0.0786269902 1.84862439 4.76195208
-0.0601900047 1.81470565 4.27812474
NaN NaN NaN
-0.0786269902 1.84862439 4.76195208
