x y z c
0.08	1.0	0.68	1.0
0.06	1.0	0.68	1.0
0.06	1.0	0.7000000000000001	1.0
0.08	1.0	0.66	1.0
0.06	1.0	0.68	1.0
0.08	1.0	0.68	1.0
0.08	1.0	0.66	1.0
0.06	1.0	0.66	1.0
0.06	1.0	0.68	1.0
0.08	1.0	0.64	1.0
0.06	1.0	0.66	1.0
0.08	1.0	0.66	1.0
0.08	1.0	0.64	1.0
0.06	1.0	0.64	1.0
0.06	1.0	0.66	1.0
0.08	1.0	0.62	1.0
0.06	1.0	0.64	1.0
0.08	1.0	0.64	1.0
0.08	1.0	0.62	1.0
0.06	1.0	0.62	1.0
0.06	1.0	0.64	1.0
0.08	1.0	0.68	1.0
0.06	1.0	0.7000000000000001	1.0
0.08	1.0	0.7000000000000001	1.0
0.08	1.0	0.7000000000000001	1.0
0.06	1.0	0.7000000000000001	1.0
0.06	1.0	0.72	1.0
0.06	1.0	0.7000000000000001	1.0
0.04	1.0	0.7000000000000001	1.0
0.04	1.0	0.72	1.0
0.06	1.0	0.68	1.0
0.04	1.0	0.7000000000000001	1.0
0.06	1.0	0.7000000000000001	1.0
0.06	1.0	0.68	1.0
0.04	1.0	0.68	1.0
0.04	1.0	0.7000000000000001	1.0
0.04	1.0	0.68	1.0
0.02	1.0	0.7000000000000001	1.0
0.04	1.0	0.7000000000000001	1.0
0.04	1.0	0.68	1.0
0.02	1.0	0.68	1.0
0.02	1.0	0.7000000000000001	1.0
0.04	1.0	0.7000000000000001	1.0
0.02	1.0	0.7000000000000001	1.0
0.02	1.0	0.72	1.0
0.06	1.0	0.64	1.0
0.04	1.0	0.64	1.0
0.04	1.0	0.66	1.0
0.04	1.0	0.64	1.0
0.02	1.0	0.66	1.0
0.04	1.0	0.66	1.0
0.06	1.0	0.62	1.0
0.04	1.0	0.62	1.0
0.04	1.0	0.64	1.0
0.04	1.0	0.62	1.0
0.02	1.0	0.64	1.0
0.04	1.0	0.64	1.0
0.06	1.0	0.62	1.0
0.04	1.0	0.64	1.0
0.06	1.0	0.64	1.0
0.06	1.0	0.64	1.0
0.04	1.0	0.66	1.0
0.06	1.0	0.66	1.0
0.06	1.0	0.66	1.0
0.04	1.0	0.68	1.0
0.06	1.0	0.68	1.0
0.06	1.0	0.66	1.0
0.04	1.0	0.66	1.0
0.04	1.0	0.68	1.0
0.04	1.0	0.66	1.0
0.02	1.0	0.68	1.0
0.04	1.0	0.68	1.0
0.04	1.0	0.66	1.0
0.02	1.0	0.66	1.0
0.02	1.0	0.68	1.0
0.04	1.0	0.64	1.0
0.02	1.0	0.64	1.0
0.02	1.0	0.66	1.0
0.04	1.0	0.62	1.0
0.02	1.0	0.62	1.0
0.02	1.0	0.64	1.0
0.04	1.0	0.6	1.0
0.02	1.0	0.6	1.0
0.02	1.0	0.62	1.0
0.04	1.0	0.58	1.0
0.02	1.0	0.6	1.0
0.04	1.0	0.6	1.0
0.02	1.0	0.6	1.0
0.0	1.0	0.62	1.0
0.02	1.0	0.62	1.0
0.04	1.0	0.6	1.0
0.02	1.0	0.62	1.0
0.04	1.0	0.62	1.0
0.06	1.0	0.6	1.0
0.04	1.0	0.6	1.0
0.04	1.0	0.62	1.0
0.06	1.0	0.58	1.0
0.04	1.0	0.6	1.0
0.06	1.0	0.6	1.0
0.08	1.0	0.6	1.0
0.06	1.0	0.6	1.0
0.06	1.0	0.62	1.0
0.06	1.0	0.6	1.0
0.04	1.0	0.62	1.0
0.06	1.0	0.62	1.0
0.1	1.0	0.6	1.0
0.08	1.0	0.6	1.0
0.08	1.0	0.62	1.0
0.08	1.0	0.6	1.0
0.06	1.0	0.62	1.0
0.08	1.0	0.62	1.0
0.08	1.0	0.58	1.0
0.06	1.0	0.6	1.0
0.08	1.0	0.6	1.0
