phi_deg,sigma_dBsm,sigma_clipped_dBsm,rho
0.0,2.137890103645332,2.137890103645332,11.33878340023318
40.0,21.638595293855275,21.638595293855275,30.83948859044312
80.0,30.799106703412154,30.799106703412154,40.0
119.99999999999999,26.561276032917178,26.561276032917178,35.76216932950503
160.0,17.784912349436325,17.784912349436325,26.985805646024172
200.0,18.435845520470508,18.435845520470508,27.636738817058355
239.99999999999997,13.44970899389626,13.44970899389626,22.65060229048411
280.0,23.551429780429025,23.551429780429025,32.75232307701687
320.0,11.452868020289007,11.452868020289007,20.653761316876853
360.0,2.137890103645357,2.137890103645357,11.338783400233204
