x,y,phi_deg,sigma_dBsm,rho
8.990672346345768,0.0,0.0,2.137890103645332,8.990672346345768
18.034477631073035,0.5696062025040182,1.8090452261306533,11.190688450367588,18.043470693068024
23.36921748930662,1.4776744448427441,3.6180904522613067,16.563106547338172,23.415888790038608
26.29865220782886,2.498521637495844,5.42713567839196,19.56429023555454,26.417072478254976
27.82966646834048,3.533560119727914,7.236180904522613,21.200317102270454,28.05309934497089
28.302804037019484,4.505627748801449,9.045226130653267,21.806411705641796,28.65919394834223
27.85576469337292,5.341121771666518,10.85427135678392,21.510419417766798,28.363201660467233
26.59650396058608,5.975890476711496,12.663316582914574,20.40680854504108,27.259590787741516
24.810716105395716,6.403720462456152,14.472361809045227,18.771020547358304,25.62380279005874
23.28473809247441,6.8007324833864,16.281407035175878,17.404773082305333,24.257555325005768
22.854261728825847,7.46570911713252,18.090452261306535,17.189973252277866,24.0427554949783
23.036532955329918,8.33887999745725,19.899497487437184,17.646580406437888,24.499362649138323
22.927545113811863,9.127938395027082,21.70854271356784,17.82497260431285,24.677754847013286
22.24131858155417,9.678919792823958,23.51758793969849,17.403304428527186,24.25608667122762
21.16780510208663,10.018016430142781,25.326633165829147,16.565941591755948,23.418723834456383
20.25955772363562,10.383263879210888,27.135678391959797,15.91258285304642,22.765365095746855
20.12452926704524,11.129841552050271,28.944723618090453,16.144392609744052,22.997174852444488
20.720288308578038,12.329121588321067,30.753768844221106,17.258161055524134,24.11094329822457
21.517224439963076,13.741170616071388,32.562814070351756,18.677801720454973,25.530583963155408
22.134829666415037,15.140071164342391,34.37185929648241,19.964608369038043,26.817390611738478
22.412716810212892,16.39216087845133,36.18090452261307,20.9146953719449,27.767477614645337
22.31150147534886,17.425353685802367,37.98994974874372,21.45704024278683,28.309822485487267
21.886540032537557,18.23452727993077,39.79899497487437,21.634383634557494,28.48716587725793
21.31586277075328,18.930458292594487,41.608040201005025,21.655606993263863,28.508389235964298
20.898461400714098,19.774500617435294,43.41708542713568,21.91832415914108,28.771106401841514
20.852606030144273,21.01785807212103,45.22613065326633,22.754337444770556,29.60711968747099
21.060084463103102,22.611992068218132,47.03517587939698,24.047530747400433,30.90031299010087
21.22815552198338,24.286522279981934,48.84422110552764,25.403531113316745,32.25631335601718
21.166606120459498,25.817546417532213,50.653266331658294,26.532407852311813,33.38519009501225
20.816717974807393,27.09195761214042,52.46231155778895,27.313135197062287,34.16591743976272
20.186304098911872,28.06259981223436,54.27135678391959,27.715937452934263,34.5687196956347
19.306606440152287,28.71004351903953,56.08040201005025,27.745073920652715,34.59785616335315
18.2149026373328,29.025165967884906,57.88944723618091,27.414446089202592,34.26722833190303
16.95052468487354,29.00559446054129,59.698492462311556,26.742526910541343,33.59530915324178
