k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
7.391567913892707,1.0,5.0,0.001,18870,10.323554261,0.049820271299999996,0.8289737920000001,0.0009629240434689618,0.0001700961390364992
10.394943505607342,1.0,5.0,0.001,36999,18.146107105,0.11460791240000004,1.731274384,0.0009148584253961359,0.00019783908289766126
12.642867021525982,1.0,5.0,0.001,72270,35.269271768,0.22393966539999996,3.4063377760000004,0.000772585160907542,0.0001699119171460269
19.606671796074252,1.0,5.0,0.001,156804,98.776318469,0.6132722189,8.337105824,0.0015410233679767167,0.0004018560273590684
29.09996110793016,1.0,5.0,0.001,287187,226.150665137,1.4799251545,18.106396336,0.0013598118353255243,0.0004507254929093369
32.90515063789839,1.0,5.0,0.001,450921,341.791156157,2.0871109346,25.177706032000003,0.0016916579050210722,0.0005828031714488296
