k,gamma,etahf,tol,N,asstime,tmvmat
13.300995196348865,1.0,5.0,0.001,23520,113.518754698,0.091726265
18.99781727007825,1.0,5.0,0.001,48000,285.252949135,0.230719823
27.07242254304166,1.0,5.0,0.001,97470,767.426122944,0.56550292
37.99043905949329,1.0,5.0,0.001,192000,1740.374967025,1.289364292
54.1366422568458,1.0,5.0,0.001,389880,4127.928735097,3.1117349
75.97828015660946,1.0,5.0,0.001,768000,9200.821486288,7.021390073
