k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,29.354138767,0.08587146270000001,1.5543595520000002,0.002617652447744701,0.0013683966176155447
18.99781727007825,1.0,5.0,0.001,48000,69.037075705,0.2227582838,3.1654197440000003,0.004934384855681908,0.0028691874872011215
28.496725694624445,1.0,5.0,0.001,108000,180.25814455,0.6229492651,7.341452688,0.003010070794185193,0.0019187244781856741
37.99043905949329,1.0,5.0,0.001,192000,361.325092532,1.2572140345,14.226510016,0.003345813405091854,0.002223666873644096
56.98565856291988,1.0,5.0,0.001,432000,950.505088255,3.5226044034,32.405496224000004,0.025397700282391817,0.017981549271846902
