theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
0.0,5.433225315919409,5.429357207713853,0.0008910615889236335
0.5,5.432989670316822,5.429060585893376,0.0009051144913766211
1.0,5.432147669259887,5.4281692680231854,0.0009164804499465937
1.5000000000000002,5.430694793589327,5.426678895166392,0.0009251224463937786
2.0,5.428623645946562,5.424582197183467,0.0009310110896178257
2.5,5.425923944851241,5.421868986286025,0.0009341247374980333
3.0000000000000004,5.4225825195280395,5.418526150858508,0.0009344497293680317
3.5,5.41858330823887,5.414537652294199,0.0009319807313526046
4.0,5.41390736354362,5.409884528285022,0.0009267211907757034
4.5,5.408532868507963,5.404544906604622,0.0009186838947829838
5.0,5.402435168368744,5.398494033931172,0.0009078916248666853
5.5,5.395586822577259,5.391704324673022,0.0008943778973848618
6.000000000000001,5.3879576824332185,5.38414543506217,0.0008781877780168351
6.5,5.379514999711108,5.375784367976153,0.0008593787565361865
7.0,5.370223571757588,5.366585614030765,0.0008380216671779613
7.499999999999999,5.36004592850701,5.356511334461472,0.0008142016382497361
8.0,5.348942566734268,5.345521591176698,0.0007880190562354809
8.5,5.336872236627314,5.333574629140427,0.0007595905270637645
9.0,5.323792285453584,5.320627215927657,0.000729049818592063
9.5,5.309659062698463,5.306635042894467,0.0006965487696627869
10.0,5.294428390592164,5.291553191949693,0.0006622581495122858
10.5,5.278056103430327,5.275336671392555,0.0006263684540007085
11.0,5.260498658520005,5.257941023711171,0.0005890906241830509
11.5,5.241713820972679,5.239323007624397,0.0005506566733400216
12.000000000000002,5.221661423912931,5.21944135599454,0.0005113202090659895
12.5,5.200304204960803,5.198257610536151,0.0004713568350978598
13.0,5.1776087190920075,5.175737033492577,0.00043106441757706325
13.5,5.153546327141404,5.1518495956266435,0.0003907631973247985
14.0,5.128094258285573,5.126571038953985,0.0003507957270629734
14.500000000000002,5.101236743784926,5.0998840116080455,0.00031152660886861727
14.999999999999998,5.072966218037777,5.071779271023039,0.00027334200134985245
15.5,5.043284581565014,5.042256950210183,0.00023664886079766823
16.0,5.012204518841075,5.011327880232489,0.00020187387299566812
16.5,4.9797508618605315,4.979014959990052,0.00016946202475422541
17.0,4.945961987922136,4.945354562056564,0.0001398747558781952
17.5,4.910891237253536,4.91039796048847,0.00011358762318194582
18.0,4.874608332752738,4.874212763215545,9.108740016347866e-5
18.5,4.83720078022402,4.836884327752398,7.286852916212449e-5
19.0,4.798775223031655,4.7985171345479944,5.942883533833647e-5
19.5,4.759458720086999,4.759236087281468,5.126441189789953e-5
20.0,4.719399910572922,4.719187703899625,4.886358604303124e-5
20.5,4.678770022916827,4.678541156256555,5.26998846125785e-5
21.0,4.637763679417504,4.637489110045204,6.322393291396732e-5
21.5,4.596599441911467,4.596248310570622,8.085424763975193e-5
22.0,4.555520038285944,4.5550598541760925,0.00010596692123513929
22.5,4.51479220502282,4.514189080288039,0.00013888424587619636
23.0,4.474706077905742,4.473925015700784,0.0001798623922843144
23.5,4.435574062243855,4.434579301604128,0.0002290783364489494
24.000000000000004,4.397729116301406,4.396484535776247,0.0002866163230374517
24.5,4.361522387883689,4.359991968180312,0.00035245425691304833
25.0,4.32732015505093,4.325468498746233,0.00042645052463618225
25.5,4.295500038362597,4.2932929420950625,0.0005083318533117007
26.0,4.266446474330446,4.263851545833074,0.0005976829088361179
26.5,4.240545467875693,4.23753277687862,0.0006939384018876573
27.0,4.218178675050986,4.214721423630372,0.0007963784994822825
27.5,4.199716904908849,4.195792099534033,0.0009041283127058658
28.0,4.185513169323719,4.181102273932943,0.0010161621406118452
28.500000000000004,4.1758954491943845,4.170984996427382,0.001131312986416711
29.000000000000004,4.1711593816356345,4.165741518185692,0.001248287624805237
29.500000000000004,4.171561101982238,4.165634044181325,0.0013656871963492368
29.999999999999996,4.177310493214946,4.170878870618005,0.0014820329585411758
30.5,4.188565100692538,4.181640168674172,0.001595796453728176
31.0,4.205424959721698,4.1980246668490695,0.0017054330047909488
31.5,4.227928556647252,4.22007745862169,0.0018094171509469425
32.0,4.2560501015662275,4.247779120431352,0.0019062784295080764
32.5,4.289698234844907,4.281044269441176,0.001994635818098709
33.0,4.328716224280898,4.319721624995716,0.0020732291969749275
33.5,4.372883639984054,4.363595567146364,0.002140946365667437
34.0,4.421919425422232,4.412389115707717,0.00219684444250833
34.5,4.475486220976265,4.465768189566582,0.0022401648539879014
35.0,4.533195745419328,4.523346953196148,0.00227034154692091
35.5,4.594615004314361,4.584694019063418,0.0022870024843745385
36.0,4.659273074165882,4.649339252780582,0.0022899648774459638
36.5,4.726668207355039,4.716780922672688,0.0022792249250847105
37.0,4.796275014031444,4.786492945593065,0.0022549430650969948
37.5,4.867551500669228,4.857932003823048,0.002217425864433017
38.0,4.93994577763574,4.930544340358577,0.002167105719321375
38.5,5.012902286341627,5.003772078376252,0.002104519474732624
39.0,5.085867436924914,5.0770589515146645,0.002030286966916336
39.5,5.158294587040624,5.149855371923815,0.0019450903312218
40.0,5.229648328861153,5.221622800341867,0.0018496547380769974
40.5,5.299408083273594,5.291837415124197,0.001744731037619779
41.0,5.367071026584231,5.35999310421912,0.0016310806200340235
41.5,5.432154395545455,5.42560382523888,0.0015094626474657811
42.0,5.494197231400506,5.488205394195013,0.0013806236874797633
42.5,5.552761633454672,5.547356773693105,0.0012452896817577133
43.0,5.607433598172595,5.602640937174101,0.0011041601135205934
43.5,5.6578235218426585,5.653665388011402,0.0009579041949013095
44.0,5.703566444272822,5.700062411800147,0.0008071588712331899
44.5,5.744322108620348,5.741489137829153,0.000652528435379889
45.0,5.779774908998405,5.777627482233852,0.0004945855527574873
45.5,5.809633793548443,5.808184041300438,0.00033387351483837413
46.0,5.833632186700517,5.83288999931865,0.00017090956354506618
46.5,5.851527990703619,5.8515011116325555,6.189153987319041e-6
47.0,5.863103723478842,5.863797820381107,0.00015980894721427191
47.5,5.868166847553724,5.869585558007503,0.00032661680332924704
48.00000000000001,5.866550343361121,5.868695292040651,0.0004937707405567354
48.5,5.858113579514892,5.860984363873793,0.0006608040997408549
49.0,5.842743532691604,5.846337674214946,0.0008272393181139165
49.5,5.820356410272625,5.824669268354242,0.000992579339609889
50.0,5.790899729613117,5.79592437509318,0.0011562983492802055
50.5,5.754354908282786,5.7600819536788626,0.0013178318315832172
51.0,5.710740419232573,5.717157802781879,0.0014765659718483084
51.5,5.660115562771728,5.667208283635569,0.00163182645398133
52.0,5.602584902372245,5.610334704830272,0.0017828667628586716
52.50000000000001,5.538303402210957,5.546688407509314,0.001928856181821946
53.0,5.467482289162211,5.476476575020548,0.0020688677906658746
53.5,5.390395638361816,5.399968768163383,0.0022018669241991168
54.0,5.307387646681089,5.3175041532809075,0.0023267007548903314
54.5,5.218880509276072,5.229499342386078,0.002442089917203481
55.0,5.125382747305726,5.136456698797701,0.0025466234014878838
55.5,5.027497746549066,5.038972874959383,0.002638758302345192
56.0,4.925932154263818,4.937747238426943,0.0027168263957353545
56.5,4.82150364419345,4.833589706165578,0.0027790498846167132
57.00000000000001,4.715147399202182,4.727427348423806,0.0028235690114615133
57.5,4.607920484679833,4.620308947257664,0.0028484842737874004
58.00000000000001,4.5010031079313215,4.513406516680923,0.0028519159481030145
58.5,4.3956956030339285,4.408012632456152,0.002832082899108501
59.00000000000001,4.2934098818976105,4.305532315439405,0.0027874014388941703
59.5,4.1956540959006805,4.207468206946082,0.0027166029358295938
59.99999999999999,4.1040094108556975,4.115397920333488,0.0026188659870563444
60.5,4.020098162039832,4.030942801230818,0.0024939553669837307
61.0,3.945543260885824,3.955727916619749,0.0023423560396912844
61.50000000000001,3.88191957189598,3.8913339245825607,0.0021653869753204
62.0,3.8306990154573284,3.839242504298853,0.0019652773134975787
62.50000000000001,3.793192261774418,3.8007781366848676,0.0017451876345886692
63.0,3.7704908825039727,3.7770500430628013,0.0015091625996147583
63.50000000000001,3.763414502269329,3.768898795723714,0.001262008232357893
64.0,3.7724676365246257,3.7768523016264135,0.0010090969689955725
64.5,3.797810384344249,3.8010953903999645,0.0007561145986110671
65.0,3.839245963388094,3.8414560986632615,0.0005087729849196857
65.5,3.896226381458959,3.897410075997627,0.00027251859999807273
66.0,3.967875616133305,3.9681026182090613,5.226779356281014e-5
66.5,4.0530278631188175,4.052386002011555,0.00014780490380404904
67.0,4.150277027693556,4.148868369802664,0.0003244080749915982
67.5,4.258032874590851,4.255969606308448,0.00047519794978078105
68.0,4.3745791722544825,4.3719795236387675,0.00059877040643052
68.5,4.498129677092548,4.4951141459305655,0.0006945928280563692
69.0,4.6268787157233575,4.623566777235123,0.0007628928740429118
69.5,4.759044218255114,4.755551626708897,0.0008045223776788816
70.0,4.892902135546888,4.889338852504128,0.0008208129243429214
70.5,5.026812096942679,5.023280824123414,0.0008134362752786582
71.0,5.159234857909711,5.155830113568072,0.0007842787425175518
71.5,5.288742533917291,5.2855501893681724,0.0007353347231648102
72.0,5.414022843374672,5.411120028021057,0.0006686213637721822
72.5,5.533878635823076,5.531333920921735,0.0005861139574738147
73.0,5.647223915004656,5.645097694774856,0.0004897001645516019
73.5,5.75307742852714,5.7514224289283655,0.0003811503598511823
74.0,5.850554725424143,5.849416583691232,0.0002621011613003289
74.5,5.938859407726164,5.9382772780010455,0.0001340493065301388
75.0,6.017274139845247,6.017281291082116,1.6466317855024164e-6
