k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
11.107207345395906,1.0,5.0,0.001,11250,6.560019096,0.0263315215,0.529949392,0.010526582219434547,0.00505953394910854
13.20947552157809,1.0,5.0,0.001,23328,9.355631511,0.05408676189999999,1.084202448,0.02047089330154183,0.009219491645191463
22.214414690791813,1.0,5.0,0.001,45000,22.570414649,0.1867246447,2.6731733760000003,0.02577939932135628,0.016411377887082697
31.67433458687259,1.0,5.0,0.001,98568,54.638068967,0.38073548150000003,5.82356872,0.028236780187513317,0.019221019142137842
44.428829381583625,1.0,5.0,0.001,180000,115.563417304,0.8436038488,11.387323536,0.03274004808213172,0.023421709982919245
60.84856578592997,1.0,5.0,0.001,394272,263.176115138,1.9611405642000002,23.725221296,0.06223034217208345,0.04723507035506245
88.85765876316725,1.0,5.0,0.001,720000,581.27806582,4.6518937832,48.339714176,0.06336562593698053,0.04955455075164797
