phi_deg,sigma_dBsm
0.0,2.137890103645332
1.8,11.153995138317182
3.6,16.52385815570351
5.3999999999999995,19.530654783717566
7.2,21.178319275550376
9.0,21.802594878053718
10.799999999999999,21.531671656635613
12.6,20.457124537295996
14.4,18.838759215967848
16.2,17.44443462961671
18.0,17.17534537768934
19.8,17.622622201406287
21.599999999999998,17.830849987119734
23.4,17.447521228878138
25.2,16.627677150007713
27.0,15.93720679248618
28.8,16.087332707822448
30.600000000000005,17.143274043693847
32.4,18.550985146466427
34.2,19.85484463097892
36.0,20.83767450541827
37.8,21.419088789821505
39.6,21.62808684370303
41.39999999999999,21.649526186116177
43.199999999999996,21.859800821892446
45.0,22.61778838175708
46.8,23.867500377120617
48.6,25.22935487682622
50.4,26.39388491749568
52.199999999999996,27.223204902322998
54.0,27.679614841823007
55.8,27.764512016263026
57.6,27.490845030145543
59.400000000000006,26.87582780035717
61.20000000000001,25.948984950328622
63.0,24.78482917706307
64.8,23.58292926630815
66.60000000000001,22.770633343545683
68.4,22.85099242968404
70.2,23.848012018170106
72.0,25.296358368854076
73.79999999999998,26.79569319820242
75.6,28.171600819799444
77.39999999999999,29.374461635130874
79.2,30.399208087444975
81.0,31.252393203320175
82.79999999999998,31.941573664963528
84.6,32.47268514308398
86.39999999999999,32.84984557621329
88.2,33.07568303080005
90.0,33.151629333946374
91.79999999999998,33.07807720869436
93.6,32.854420842602224
95.39999999999999,32.47899954370029
97.2,31.94893209943594
99.0,31.259826142975463
100.8,30.405462198236755
102.6,29.377996902740232
104.39999999999999,28.17055879481829
106.2,26.78776549726252
108.0,25.278537978384076
109.8,23.816790040186348
111.6,22.805189089766525
113.39999999999999,22.716412484605097
115.2,23.529782483709024
117.0,24.73718048873289
118.80000000000001,25.907246742159153
120.60000000000001,26.839649109053795
122.40000000000002,27.460302186441616
124.2,27.740359437336064
126.0,27.66342210755681
127.80000000000001,27.217618696987085
129.6,26.4029955081751
131.4,25.258656176112716
133.20000000000002,23.921370618052226
135.0,22.690809277304048
136.8,21.928641624851256
138.6,21.68840962450089
140.4,21.62890774073417
142.20000000000002,21.386354483115984
144.0,20.779982152727165
145.79999999999998,19.785767772818964
147.59999999999997,18.496100794328633
149.4,17.145466568008633
151.2,16.18587165117815
153.0,16.10770624962003
154.79999999999998,16.7999522228534
156.59999999999997,17.591974492609697
158.4,17.95453330669795
160.2,17.736985167911886
162.0,17.27363257516072
163.79999999999998,17.49123093619034
165.59999999999997,18.823865815509492
167.4,20.407791485860223
169.2,21.467431590916625
171.0,21.731426969885042
172.79999999999998,21.10405400070187
174.59999999999997,19.45780660105137
176.4,16.46380892482254
178.2,11.155072622367946
180.0,2.4888754622678126
181.79999999999998,8.81853325548253
183.59999999999997,13.256836263151364
185.4,15.158998447673454
187.2,15.87846358813816
189.0,16.288280574109386
190.79999999999998,17.05081424358239
192.59999999999997,18.13199807531347
194.4,19.023374944040654
196.2,19.38092413799778
198.0,19.149968789365587
199.79999999999998,18.5155654925897
201.6,17.86223581239647
203.4,17.50039389123917
205.2,17.266961439651872
207.0,16.668107456696543
208.79999999999998,15.228977790933492
210.6,12.469500870054349
212.4,7.599788373690166
214.2,1.3787696398760683
216.0,5.1824332401414805
217.79999999999998,8.823570346472835
219.6,10.842531688900191
221.4,12.694253510066975
223.2,14.909544775593975
225.0,17.09838644205962
226.79999999999998,18.832864713118397
228.6,19.95321860073741
230.4,20.43573167031056
232.20000000000002,20.28977950537271
234.0,19.521275399253607
235.80000000000004,18.1331491970398
237.60000000000002,16.183416553624987
239.4,14.034440422644396
241.20000000000002,12.832334940172574
243.0,13.530260603243516
244.80000000000004,15.164920839180152
246.60000000000002,16.754740992775968
248.4,18.075636456232726
250.20000000000002,19.169273454922273
252.0,20.114074912979408
253.80000000000004,20.97149542775591
255.60000000000002,21.778307662029192
257.40000000000003,22.548943638506888
259.2,23.279755698513156
261.0,23.954214090508124
262.8,24.548907434159446
264.6,25.03930511771201
266.40000000000003,25.404039405118613
268.2,25.627264728781036
270.0,25.69952102210177
271.8,25.61785696729455
273.6,25.385806582611426
275.40000000000003,25.013422196336258
277.2,24.517128047499344
279.0,23.91878930162404
280.8,23.243277377891594
282.6,22.51419968958659
284.40000000000003,21.74832094738003
286.2,20.949838576977665
288.0,20.10523998477137
289.8,19.178550266279913
291.59999999999997,18.10792495644636
293.4,16.81166170171801
295.19999999999993,15.237861293522618
297.0,13.583889075040565
298.8,12.809009787743811
300.59999999999997,13.963200120017955
302.4,16.135981816364556
304.19999999999993,18.126594309303197
306.0,19.55143869625725
307.8,20.35173510411745
309.59999999999997,20.527526235051155
311.4,20.076227055967678
313.19999999999993,18.991587948556308
315.0,17.29855122937156
316.8,15.148989278261688
318.59999999999997,12.942910333996645
320.4,11.054293793887386
322.19999999999993,9.00327005741897
324.0,5.399491405859095
325.8,1.5569980130462169
327.59999999999997,7.576612907963531
329.4,12.46279075541825
331.19999999999993,15.24914111068619
333.0,16.7175196017456
334.8,17.348221284640747
336.59999999999997,17.609165661948364
338.4,17.978953407741706
340.19999999999993,18.61711682392376
342.0,19.2287872044311
343.8,19.44103527809115
345.59999999999997,19.070878917009818
347.4,18.173495652668887
349.19999999999993,17.097148775685405
351.0,16.35374554552274
352.8,15.967755480233652
354.59999999999997,15.265621275776818
356.4,13.37068351147769
358.19999999999993,8.901532890889744
0.0,2.137890103645332
