k,gamma,etahf,tol,N,hfnodes,lfnodes,dirmax,storh2mat,farerrh2mat,errh2mat
6.5984617287682426,1.0,1.0,0.001,742845,15783,5406,33,109.009802272,0.0025140321705427867,0.00024375493124515358
1.6496154321920606,1.0,1.0,0.001,742845,973,20454,11,56.49787552,0.004317928652434553,6.32785892376662e-5
0.41240385804801516,1.0,1.0,0.001,742845,40,21450,4,51.594017856,0.006732343031212859,4.3692149144175025e-5
0.10310096451200379,1.0,1.0,0.001,742845,0,21496,1,49.764187712,0.006969500761259029,4.378811594446111e-5
