k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,17.473950556,0.09165977900000001,1.6335611520000002,0.0022906779453438267,0.0008063101759942419
18.99781727007825,1.0,5.0,0.001,48000,37.123983432,0.2245128555,3.3892805920000004,0.0035178866686275856,0.0015188829041895872
28.496725694624445,1.0,5.0,0.001,108000,100.364860658,0.5945851265,7.9791662400000005,0.0036151002667087033,0.001943868550777964
37.99043905949329,1.0,5.0,0.001,192000,217.90813596,1.2362899125999998,15.486799264000002,0.004961455431579418,0.003009413369612883
56.98565856291988,1.0,5.0,0.001,432000,586.500178214,3.5705456481000004,35.71797616,0.04758265953236401,0.03395783037458623
