k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,16.883127485,0.11004020410000001,1.6620139040000002,0.00647486691387403,0.0033897013610296395
18.99781727007825,1.0,5.0,0.001,48000,36.871225777,0.2780538475,3.4606609120000003,0.020098250812603864,0.011684077229980496
28.496725694624445,1.0,5.0,0.001,108000,99.262673679,0.6982352384,8.200882512,0.03221889879823683,0.02051797465790982
37.99043905949329,1.0,5.0,0.001,192000,203.294115106,1.4887685436000002,15.98767336,0.055040728969458906,0.036563596271183364
