k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
13.300995196348865,1.0,5.0,0.001,23520,83.054833406,0.1207507874,1.8053620000000001,0.0005261525440459929,0.00018520409941376396
18.99781727007825,1.0,5.0,0.001,48000,349.905479581,0.2868290615,3.8886709760000002,0.0005361693795483531,0.00023146443314881943
28.496725694624445,1.0,5.0,0.001,108000,1699.884736445,0.8769835722,9.7924352,0.04344429220218175,0.023359848173188414
37.99043905949329,1.0,5.0,0.001,192000,5403.241645836,1.7633808376000002,19.70528712,0.07049635054796147,0.04276210990295266
56.98565856291988,1.0,5.0,0.001,432000,30768.11057411,4.874867353,48.725482208,0.10271200474820705,0.07329433250040321
