k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
0.6283185307179586,1.0,5.0,0.001,23520,8.645466471,0.021033371700000005,1.137228928,0.001266488349055801,0.0007716007155110559
0.6283185307179586,1.0,5.0,0.001,48000,12.686477997,0.0409648455,2.1509148000000002,0.0016410289970492525,0.0011946875103995584
0.6283185307179586,1.0,5.0,0.001,108000,27.298161754,0.09399294509999999,4.517585072,0.0019210636479124884,0.001584706910335773
0.6283185307179586,1.0,5.0,0.001,192000,47.734185521,0.1787968205,8.319699536,0.0024683342380530243,0.0021350031759610265
