N,tol,err,storage
72270,0.01,0.006459685650307587,27.454327904000003
72270,0.001,0.0013877307117997227,28.005346944000003
72270,0.0001,0.0001132387555535088,28.780322496
72270,1.0e-5,1.2773156830717745e-5,29.898778080000003
72270,1.0e-6,2.5338552947730495e-6,31.420630608000003
72270,1.0e-7,6.863713209398103e-7,33.518268944
72270,1.0e-8,1.7566855687708077e-7,36.522384880000004
72270,1.0e-9,1.4880434300398898e-7,40.760360848000005
72270,1.0e-10,2.8451770712866115e-9,46.678574352000005
72270,0.01,0.008271105379439047,77.54563312
72270,0.001,0.002318460082687351,77.70909318400001
72270,0.0001,0.00022118946575904624,77.94025692800001
72270,1.0e-5,5.0915867703329655e-5,78.250925248
72270,1.0e-6,1.4622137574630505e-5,78.631415136
72270,1.0e-7,3.932333714810885e-6,79.14002864000001
72270,1.0e-8,7.68237984611026e-7,79.799515072
72270,1.0e-9,1.617850931290751e-7,80.625073248
72270,1.0e-10,3.4468172095953523e-8,81.614162608
72270,0.01,0.008246967156941898,77.54563312
72270,0.001,0.002318559347540126,77.70909318400001
72270,0.0001,0.00022118367402105377,77.94025692800001
72270,1.0e-5,5.091588566238169e-5,78.250925248
72270,1.0e-6,1.4622137487377728e-5,78.631415136
72270,1.0e-7,3.932333692289342e-6,79.14002864000001
72270,1.0e-8,7.682379850135167e-7,79.799515072
72270,1.0e-9,1.6178509314803222e-7,80.625073248
72270,1.0e-10,3.4468172094572926e-8,81.614162608
