k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat,errh2mat
1.3692695543554056,1.0,5.0,0.001,4533,4.522343329,0.0092730057,0.137401392,0.0004225391314176918,3.2092509921815524e-5
2.646342227796979,1.0,5.0,0.001,9021,4.685579296,0.0229698864,0.47152256000000003,0.00040410721688185087,7.44646178900447e-5
3.1634649497166536,1.0,5.0,0.001,18302,11.604181925,0.05331687169999999,1.159202432,0.00029816764064191615,6.366641218689849e-5
3.9348785924012892,1.0,5.0,0.001,35394,26.606161711,0.11092672480000003,2.5530938560000003,0.00027490076901441905,6.360329464916921e-5
6.0853371410246595,1.0,5.0,0.001,73866,70.783554771,0.3274217524,6.152102080000001,0.00037504482544059256,9.161620125577981e-5
8.50112659852949,1.0,5.0,0.001,147237,149.356227422,0.7367900185,12.54196432,0.000548901936687938,0.00011677620487656428
9.71842504222307,1.0,5.0,0.001,292872,308.558905738,1.3067602198000001,22.911465664,0.0006981218371471837,0.00021958221986805143
10.756102226231748,1.0,5.0,0.001,594380,528.616049116,2.3809050748,38.048755712,0.0008903657788727141,0.000141652509790182
11.33077052673815,1.0,5.0,0.001,1164724,867.784136232,3.2289785184000004,64.55144200000001,0.0010422556166543896,0.0002485289176580139
