k,gamma,etahf,tol,N,th2mat,tmvh2mat,storh2mat,farerrh2mat
13.20947552157809,1.0,5.0,0.001,23328,13.004394797,0.084527048,1.3910748640000001,0.0003900787152276419
22.214414690791813,1.0,5.0,0.001,45000,30.165828414,0.165290185,5.257003232000001,0.00046430151195672086
31.67433458687259,1.0,5.0,0.001,98568,78.381643183,0.52455122,7.2532710080000005,0.0010590358552751452
44.428829381583625,1.0,5.0,0.001,180000,189.055027088,1.275904495,23.216057152,0.0006180387098042839
60.84856578592997,1.0,5.0,0.001,394272,575.912715994,3.609468006,32.52736208,0.0008132064951060967
