k,gamma,etahf,tol,N,th2mat,thmat,tmvh2mat,tmvhmat,storh2mat,storhmat,farerrh2mat,farerrhmat
13.20947552157809,1.0,5.0,0.001,23328,13.675019251,17.285627267,0.060944858,0.035600246,1.0921727840000002,1.8461547200000001,0.018746893696461608,0.031156400966686107
22.214414690791813,1.0,5.0,0.001,45000,22.360722031,41.192726461,0.174417585,0.073071371,2.696254736,5.165544352,0.02813003782370456,0.05451494665596558
31.67433458687259,1.0,5.0,0.001,98568,48.783691238,128.141516733,0.43595512,0.185058333,5.877131888,14.827419888000001,0.028318997439155162,0.09198530634985005
44.428829381583625,1.0,5.0,0.001,180000,108.106033093,329.898706869,1.02741911,0.468435894,11.509517296,34.795996976000005,0.031475457863026794,0.12973090663496215
60.84856578592997,1.0,5.0,0.001,394272,239.392996019,1118.133087434,2.360255531,1.002308178,24.004389808000003,98.613134144,0.06547592464304491,0.19668845657751252
