k,gamma,etahf,tol,N,storhmataca,errhmataca,tasshmataca,tmvhmataca,storhmatrs,errhmatrs,tasshmatrs,tmvhmatrs,stornca,errnca,tassnca,tmvnca,storncaefie,errncaefie,tassncaefie,tmvncaefie,storncaefieoct,errncaefieoct,tassncaefieoct,tmvncaefieoct
13.20947552157809,1.0,5.0,0.001,23328,1.8461547200000001,0.031156400966686107,17.285627267,0.035600246,1.515968352,0.0021618842362135936,24.832991661,0.029013757,1.0921727840000002,0.018746893696461608,13.675019251,0.060944858,1.25840744,0.002439536927652706,14.935663479,0.066472337,1.3910748640000001,0.0003900787152276419,13.004394797,0.084527048
22.214414690791813,1.0,5.0,0.001,45000,5.165544352,0.05451494665596558,41.192726461,0.073071371,4.16585912,0.0023181970961408584,76.456507425,0.074972322,2.696254736,0.02813003782370456,22.360722031,0.174417585,3.168786448,0.0016302991109508162,33.499523838,0.230859668,5.257003232000001,0.00046430151195672086,30.165828414,0.165290185
31.67433458687259,1.0,5.0,0.001,98568,14.827419888000001,0.09198530634985005,128.141516733,0.185058333,11.727866128,0.00215851708581461,271.05162145,0.189067335,5.877131888,0.028318997439155162,48.783691238,0.43595512,7.108718272000001,0.0007306679351503474,92.204090005,0.583852387,7.2532710080000005,0.0010590358552751452,78.381643183,0.52455122
44.428829381583625,1.0,5.0,0.001,180000,34.795996976000005,0.12973090663496215,329.898706869,0.468435894,27.6399924,0.002017307471701439,769.389323466,0.494301957,11.509517296,0.031475457863026794,108.106033093,1.02741911,14.152859600000001,0.0006297202129866124,237.03549374,1.247418797,23.216057152,0.0006180387098042839,189.055027088,1.275904495
60.84856578592997,1.0,5.0,0.001,394272,98.613134144,0.19668845657751252,1118.133087434,1.002308178,79.500737072,0.0018054651768419146,3275.817347192,1.75773626,24.004389808000003,0.06547592464304491,239.392996019,2.360255531,30.157918352000003,0.0011638604755975874,700.004244295,4.724414911,32.52736208,0.0008132064951060967,575.912715994,3.609468006
